TIME STAMP,PROCESS,GRAPHICS API,FPS,AVG FRAME TIME,99th% FPS,MICRO STUTTER,HEAVY STUTTER RATE,FRAME GEN LAG
2025-08-08 11:18:53.337,MafiaTheOldCountry.exe,DX12,45.742,21.862,34.359,11.538,5.203,N/A
2025-08-08 11:18:53.584,MafiaTheOldCountry.exe,DX12,45.742,21.862,34.359,11.538,5.203,N/A
2025-08-08 11:18:53.925,MafiaTheOldCountry.exe,DX12,50.939,19.631,34.548,11.765,5.867,N/A
2025-08-08 11:18:54.111,MafiaTheOldCountry.exe,DX12,50.939,19.631,34.548,11.765,5.867,N/A
2025-08-08 11:18:54.367,MafiaTheOldCountry.exe,DX12,50.939,19.631,34.548,11.765,5.867,N/A
2025-08-08 11:18:54.617,MafiaTheOldCountry.exe,DX12,50.939,19.631,34.548,11.765,5.867,N/A
2025-08-08 11:18:54.956,MafiaTheOldCountry.exe,DX12,50.939,19.631,34.548,11.765,5.867,N/A
2025-08-08 11:18:55.133,MafiaTheOldCountry.exe,DX12,42.335,23.621,7.405,63.636,6.869,N/A
2025-08-08 11:18:55.354,MafiaTheOldCountry.exe,DX12,42.335,23.621,7.405,63.636,6.869,N/A
2025-08-08 11:18:55.606,MafiaTheOldCountry.exe,DX12,42.335,23.621,7.405,63.636,6.869,N/A
2025-08-08 11:18:55.970,MafiaTheOldCountry.exe,DX12,42.110,23.748,7.405,13.725,7.181,N/A
2025-08-08 11:18:56.131,MafiaTheOldCountry.exe,DX12,42.110,23.748,7.405,13.725,7.181,N/A
2025-08-08 11:18:56.362,MafiaTheOldCountry.exe,DX12,42.110,23.748,7.405,13.725,7.181,N/A
2025-08-08 11:18:56.630,MafiaTheOldCountry.exe,DX12,42.110,23.748,7.405,13.725,7.181,N/A
2025-08-08 11:18:56.969,MafiaTheOldCountry.exe,DX12,44.336,22.555,30.264,12.500,6.199,N/A
2025-08-08 11:18:57.111,MafiaTheOldCountry.exe,DX12,44.336,22.555,30.264,12.500,6.199,N/A
2025-08-08 11:18:57.373,MafiaTheOldCountry.exe,DX12,44.336,22.555,30.264,12.500,6.199,N/A
2025-08-08 11:18:57.622,MafiaTheOldCountry.exe,DX12,44.336,22.555,30.264,12.500,6.199,N/A
2025-08-08 11:18:57.959,MafiaTheOldCountry.exe,DX12,48.154,20.767,36.044,4.000,5.746,N/A
2025-08-08 11:18:58.131,MafiaTheOldCountry.exe,DX12,48.154,20.767,36.044,4.000,5.746,N/A
2025-08-08 11:18:58.375,MafiaTheOldCountry.exe,DX12,48.154,20.767,36.044,4.000,5.746,N/A
2025-08-08 11:18:58.623,MafiaTheOldCountry.exe,DX12,48.154,20.767,36.044,4.000,5.746,N/A
2025-08-08 11:18:58.959,MafiaTheOldCountry.exe,DX12,49.926,20.030,38.817,3.922,5.125,N/A
2025-08-08 11:18:59.129,MafiaTheOldCountry.exe,DX12,49.926,20.030,38.817,3.922,5.125,N/A
2025-08-08 11:18:59.385,MafiaTheOldCountry.exe,DX12,49.926,20.030,38.817,3.922,5.125,N/A
2025-08-08 11:18:59.632,MafiaTheOldCountry.exe,DX12,49.926,20.030,38.817,3.922,5.125,N/A
2025-08-08 11:18:59.960,MafiaTheOldCountry.exe,DX12,50.405,19.839,37.197,7.843,5.175,N/A
2025-08-08 11:19:00.147,MafiaTheOldCountry.exe,DX12,50.405,19.839,37.197,7.843,5.175,N/A
2025-08-08 11:19:00.400,MafiaTheOldCountry.exe,DX12,50.405,19.839,37.197,7.843,5.175,N/A
2025-08-08 11:19:00.646,MafiaTheOldCountry.exe,DX12,50.405,19.839,37.197,7.843,5.175,N/A
2025-08-08 11:19:00.981,MafiaTheOldCountry.exe,DX12,51.712,19.338,37.071,9.434,4.848,N/A
2025-08-08 11:19:01.163,MafiaTheOldCountry.exe,DX12,51.712,19.338,37.071,9.434,4.848,N/A
2025-08-08 11:19:01.411,MafiaTheOldCountry.exe,DX12,51.712,19.338,37.071,9.434,4.848,N/A
2025-08-08 11:19:01.672,MafiaTheOldCountry.exe,DX12,51.712,19.338,37.071,9.434,4.848,N/A
2025-08-08 11:19:01.948,MafiaTheOldCountry.exe,DX12,55.622,17.979,37.291,13.559,4.645,N/A
2025-08-08 11:19:02.167,MafiaTheOldCountry.exe,DX12,55.622,17.979,37.291,13.559,4.645,N/A
2025-08-08 11:19:02.415,MafiaTheOldCountry.exe,DX12,55.622,17.979,37.291,13.559,4.645,N/A
2025-08-08 11:19:02.665,MafiaTheOldCountry.exe,DX12,55.622,17.979,37.291,13.559,4.645,N/A
2025-08-08 11:19:02.976,MafiaTheOldCountry.exe,DX12,59.601,16.778,37.291,18.333,5.149,N/A
2025-08-08 11:19:03.172,MafiaTheOldCountry.exe,DX12,59.601,16.778,37.291,18.333,5.149,N/A
2025-08-08 11:19:03.434,MafiaTheOldCountry.exe,DX12,59.601,16.778,37.291,18.333,5.149,N/A
2025-08-08 11:19:03.697,MafiaTheOldCountry.exe,DX12,59.601,16.778,37.291,18.333,5.149,N/A
2025-08-08 11:19:03.958,MafiaTheOldCountry.exe,DX12,59.459,16.818,38.470,13.333,5.496,N/A
2025-08-08 11:19:04.212,MafiaTheOldCountry.exe,DX12,59.459,16.818,38.470,13.333,5.496,N/A
2025-08-08 11:19:04.461,MafiaTheOldCountry.exe,DX12,59.459,16.818,38.470,13.333,5.496,N/A
2025-08-08 11:19:04.709,MafiaTheOldCountry.exe,DX12,59.459,16.818,38.470,13.333,5.496,N/A
2025-08-08 11:19:04.968,MafiaTheOldCountry.exe,DX12,56.119,17.819,40.484,5.660,5.348,N/A
2025-08-08 11:19:05.206,MafiaTheOldCountry.exe,DX12,56.119,17.819,40.484,5.660,5.348,N/A
2025-08-08 11:19:05.469,MafiaTheOldCountry.exe,DX12,56.119,17.819,40.484,5.660,5.348,N/A
2025-08-08 11:19:05.732,MafiaTheOldCountry.exe,DX12,56.119,17.819,40.484,5.660,5.348,N/A
2025-08-08 11:19:05.973,MafiaTheOldCountry.exe,DX12,52.066,19.206,34.644,7.843,5.105,N/A
2025-08-08 11:19:06.228,MafiaTheOldCountry.exe,DX12,52.066,19.206,34.644,7.843,5.105,N/A
2025-08-08 11:19:06.474,MafiaTheOldCountry.exe,DX12,52.066,19.206,34.644,7.843,5.105,N/A
2025-08-08 11:19:06.736,MafiaTheOldCountry.exe,DX12,52.066,19.206,34.644,7.843,5.105,N/A
2025-08-08 11:19:06.984,MafiaTheOldCountry.exe,DX12,50.702,19.723,35.987,10.000,5.381,N/A
2025-08-08 11:19:07.235,MafiaTheOldCountry.exe,DX12,50.702,19.723,35.987,10.000,5.381,N/A
2025-08-08 11:19:07.497,MafiaTheOldCountry.exe,DX12,50.702,19.723,35.987,10.000,5.381,N/A
2025-08-08 11:19:07.762,MafiaTheOldCountry.exe,DX12,50.702,19.723,35.987,10.000,5.381,N/A
2025-08-08 11:19:08.024,MafiaTheOldCountry.exe,DX12,50.506,19.799,34.826,7.692,5.512,N/A
2025-08-08 11:19:08.288,MafiaTheOldCountry.exe,DX12,50.506,19.799,34.826,7.692,5.512,N/A
2025-08-08 11:19:08.535,MafiaTheOldCountry.exe,DX12,50.506,19.799,34.826,7.692,5.512,N/A
2025-08-08 11:19:08.784,MafiaTheOldCountry.exe,DX12,50.506,19.799,34.826,7.692,5.512,N/A
2025-08-08 11:19:09.047,MafiaTheOldCountry.exe,DX12,50.853,19.664,34.826,8.000,5.352,N/A
2025-08-08 11:19:09.309,MafiaTheOldCountry.exe,DX12,50.853,19.664,34.826,8.000,5.352,N/A
2025-08-08 11:19:09.572,MafiaTheOldCountry.exe,DX12,50.853,19.664,34.826,8.000,5.352,N/A
2025-08-08 11:19:09.836,MafiaTheOldCountry.exe,DX12,50.853,19.664,34.826,8.000,5.352,N/A
2025-08-08 11:19:10.084,MafiaTheOldCountry.exe,DX12,50.834,19.672,34.826,5.769,3.944,N/A
2025-08-08 11:19:10.330,MafiaTheOldCountry.exe,DX12,50.834,19.672,34.826,5.769,3.944,N/A
2025-08-08 11:19:10.615,MafiaTheOldCountry.exe,DX12,50.834,19.672,34.826,5.769,3.944,N/A
2025-08-08 11:19:10.959,MafiaTheOldCountry.exe,DX12,50.834,19.672,34.826,5.769,3.944,N/A
2025-08-08 11:19:11.124,MafiaTheOldCountry.exe,DX12,50.146,19.942,27.686,10.000,3.944,N/A
2025-08-08 11:19:11.377,MafiaTheOldCountry.exe,DX12,50.146,19.942,27.686,10.000,3.944,N/A
2025-08-08 11:19:11.627,MafiaTheOldCountry.exe,DX12,50.146,19.942,27.686,10.000,3.944,N/A
2025-08-08 11:19:11.954,MafiaTheOldCountry.exe,DX12,50.146,19.942,27.686,10.000,3.944,N/A
2025-08-08 11:19:12.130,MafiaTheOldCountry.exe,DX12,49.538,20.187,27.088,16.327,4.198,N/A
2025-08-08 11:19:12.383,MafiaTheOldCountry.exe,DX12,49.538,20.187,27.088,16.327,4.198,N/A
2025-08-08 11:19:12.616,MafiaTheOldCountry.exe,DX12,49.538,20.187,27.088,16.327,4.198,N/A
2025-08-08 11:19:12.979,MafiaTheOldCountry.exe,DX12,48.000,20.833,27.088,18.750,4.841,N/A
2025-08-08 11:19:13.125,MafiaTheOldCountry.exe,DX12,48.000,20.833,27.088,18.750,4.841,N/A
2025-08-08 11:19:13.379,MafiaTheOldCountry.exe,DX12,48.000,20.833,27.088,18.750,4.841,N/A
2025-08-08 11:19:13.622,MafiaTheOldCountry.exe,DX12,48.000,20.833,27.088,18.750,4.841,N/A
2025-08-08 11:19:13.965,MafiaTheOldCountry.exe,DX12,48.000,20.833,27.088,18.750,4.841,N/A
2025-08-08 11:19:14.129,MafiaTheOldCountry.exe,DX12,49.254,20.303,28.793,9.804,5.102,N/A
2025-08-08 11:19:14.375,MafiaTheOldCountry.exe,DX12,49.254,20.303,28.793,9.804,5.102,N/A
2025-08-08 11:19:14.622,MafiaTheOldCountry.exe,DX12,49.254,20.303,28.793,9.804,5.102,N/A
2025-08-08 11:19:14.962,MafiaTheOldCountry.exe,DX12,49.254,20.303,28.793,9.804,5.102,N/A
2025-08-08 11:19:15.127,MafiaTheOldCountry.exe,DX12,49.476,20.212,28.793,11.765,5.485,N/A
2025-08-08 11:19:15.372,MafiaTheOldCountry.exe,DX12,49.476,20.212,28.793,11.765,5.485,N/A
2025-08-08 11:19:15.622,MafiaTheOldCountry.exe,DX12,49.476,20.212,28.793,11.765,5.485,N/A
2025-08-08 11:19:15.970,MafiaTheOldCountry.exe,DX12,50.211,19.916,33.656,6.000,5.513,N/A
2025-08-08 11:19:16.128,MafiaTheOldCountry.exe,DX12,50.211,19.916,33.656,6.000,5.513,N/A
2025-08-08 11:19:16.377,MafiaTheOldCountry.exe,DX12,50.211,19.916,33.656,6.000,5.513,N/A
2025-08-08 11:19:16.632,MafiaTheOldCountry.exe,DX12,50.211,19.916,33.656,6.000,5.513,N/A
2025-08-08 11:19:16.961,MafiaTheOldCountry.exe,DX12,49.275,20.294,33.656,16.327,5.722,N/A
2025-08-08 11:19:17.132,MafiaTheOldCountry.exe,DX12,49.275,20.294,33.656,16.327,5.722,N/A
2025-08-08 11:19:17.372,MafiaTheOldCountry.exe,DX12,49.275,20.294,33.656,16.327,5.722,N/A
2025-08-08 11:19:17.631,MafiaTheOldCountry.exe,DX12,49.275,20.294,33.656,16.327,5.722,N/A
2025-08-08 11:19:17.960,MafiaTheOldCountry.exe,DX12,49.275,20.294,33.656,16.327,5.722,N/A
